id,nombre,correo,fecha_registro
1,Cliente Sintético 0001,cliente0001@example.com,2024-08-14
2,Cliente Sintético 0002,cliente0002@example.com,2024-12-16
3,Cliente Sintético 0003,cliente0003@example.com,2024-08-29
4,Cliente Sintético 0004,cliente0004@example.com,2024-11-19
5,Cliente Sintético 0005,cliente0005@example.com,2024-07-24
6,Cliente Sintético 0006,cliente0006@example.com,2024-01-25
7,Cliente Sintético 0007,cliente0007@example.com,2024-05-15
8,Cliente Sintético 0008,cliente0008@example.com,2024-04-15
9,Cliente Sintético 0009,cliente0009@example.com,2024-04-20
10,Cliente Sintético 0010,cliente0010@example.com,2024-07-30
11,Cliente Sintético 0011,cliente0011@example.com,2024-08-08
12,Cliente Sintético 0012,cliente0012@example.com,2024-01-24
13,Cliente Sintético 0013,cliente0013@example.com,2024-11-03
14,Cliente Sintético 0014,cliente0014@example.com,2024-12-04
15,Cliente Sintético 0015,cliente0015@example.com,2024-02-16
16,Cliente Sintético 0016,cliente0016@example.com,2024-05-16
17,Cliente Sintético 0017,cliente0017@example.com,2024-12-15
18,Cliente Sintético 0018,cliente0018@example.com,2024-09-04
19,Cliente Sintético 0019,cliente0019@example.com,2024-10-06
20,Cliente Sintético 0020,cliente0020@example.com,2024-06-02
21,Cliente Sintético 0021,cliente0021@example.com,2024-11-24
22,Cliente Sintético 0022,cliente0022@example.com,2024-06-08
23,Cliente Sintético 0023,cliente0023@example.com,2024-06-04
24,Cliente Sintético 0024,cliente0024@example.com,2024-02-27
25,Cliente Sintético 0025,cliente0025@example.com,2024-09-11
26,Cliente Sintético 0026,cliente0026@example.com,2024-08-17
27,Cliente Sintético 0027,cliente0027@example.com,2024-12-23
28,Cliente Sintético 0028,cliente0028@example.com,2024-12-18
29,Cliente Sintético 0029,cliente0029@example.com,2024-08-16
30,Cliente Sintético 0030,cliente0030@example.com,2024-01-17
31,Cliente Sintético 0031,cliente0031@example.com,2024-03-14
32,Cliente Sintético 0032,cliente0032@example.com,2024-07-17
33,Cliente Sintético 0033,cliente0033@example.com,2024-02-17
34,Cliente Sintético 0034,cliente0034@example.com,2024-08-15
35,Cliente Sintético 0035,cliente0035@example.com,2024-04-18
36,Cliente Sintético 0036,cliente0036@example.com,2024-10-04
37,Cliente Sintético 0037,cliente0037@example.com,2024-03-19
38,Cliente Sintético 0038,cliente0038@example.com,2024-06-08
39,Cliente Sintético 0039,cliente0039@example.com,2024-08-19
40,Cliente Sintético 0040,cliente0040@example.com,2024-05-22
41,Cliente Sintético 0041,cliente0041@example.com,2024-07-10
42,Cliente Sintético 0042,cliente0042@example.com,2024-04-30
43,Cliente Sintético 0043,cliente0043@example.com,2024-03-24
44,Cliente Sintético 0044,cliente0044@example.com,2024-01-13
45,Cliente Sintético 0045,cliente0045@example.com,2024-07-29
46,Cliente Sintético 0046,cliente0046@example.com,2024-10-02
47,Cliente Sintético 0047,cliente0047@example.com,2024-06-04
48,Cliente Sintético 0048,cliente0048@example.com,2024-09-09
49,Cliente Sintético 0049,cliente0049@example.com,2024-05-29
50,Cliente Sintético 0050,cliente0050@example.com,2024-01-09
51,Cliente Sintético 0051,cliente0051@example.com,2024-08-11
52,Cliente Sintético 0052,cliente0052@example.com,2024-08-01
53,Cliente Sintético 0053,cliente0053@example.com,2024-04-02
54,Cliente Sintético 0054,cliente0054@example.com,2024-03-19
55,Cliente Sintético 0055,cliente0055@example.com,2024-03-21
56,Cliente Sintético 0056,cliente0056@example.com,2024-04-05
57,Cliente Sintético 0057,cliente0057@example.com,2024-01-11
58,Cliente Sintético 0058,cliente0058@example.com,2024-08-26
59,Cliente Sintético 0059,cliente0059@example.com,2024-11-28
60,Cliente Sintético 0060,cliente0060@example.com,2024-01-26
61,Cliente Sintético 0061,cliente0061@example.com,2024-12-28
62,Cliente Sintético 0062,cliente0062@example.com,2024-08-01
63,Cliente Sintético 0063,cliente0063@example.com,2024-01-30
64,Cliente Sintético 0064,cliente0064@example.com,2024-01-12
65,Cliente Sintético 0065,cliente0065@example.com,2024-03-30
66,Cliente Sintético 0066,cliente0066@example.com,2024-01-14
67,Cliente Sintético 0067,cliente0067@example.com,2024-12-24
68,Cliente Sintético 0068,cliente0068@example.com,2024-10-03
69,Cliente Sintético 0069,cliente0069@example.com,2024-03-07
70,Cliente Sintético 0070,cliente0070@example.com,2024-10-31
71,Cliente Sintético 0071,cliente0071@example.com,2024-03-15
72,Cliente Sintético 0072,cliente0072@example.com,2024-03-22
73,Cliente Sintético 0073,cliente0073@example.com,2024-11-27
74,Cliente Sintético 0074,cliente0074@example.com,2024-07-01
75,Cliente Sintético 0075,cliente0075@example.com,2024-05-22
76,Cliente Sintético 0076,cliente0076@example.com,2024-12-15
77,Cliente Sintético 0077,cliente0077@example.com,2024-03-23
